userId,churn,prediction
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
120,0,0.0
